,index,rank,country_abrv,year
1059,39998,33,GHA,2011
1060,40208,36,GHA,2011
1061,40414,36,GHA,2011
1062,40621,37,GHA,2011
1063,40824,33,GHA,2011
1064,41027,29,GHA,2011
1065,41235,29,GHA,2011
1066,41441,26,GHA,2012
1067,41647,23,GHA,2012
1068,41856,23,GHA,2012
1069,42064,22,GHA,2012
1070,42273,22,GHA,2012
1071,42485,25,GHA,2012
1072,42702,33,GHA,2012
1073,42910,32,GHA,2012
1074,43119,31,GHA,2012
1075,43329,31,GHA,2012
1076,43537,29,GHA,2012
1077,43748,30,GHA,2012
1078,43955,26,GHA,2013
1079,44157,19,GHA,2013
1080,44368,20,GHA,2013
1081,44580,22,GHA,2013
1082,44790,22,GHA,2013
1083,44999,21,GHA,2013
1084,45212,24,GHA,2013
1085,45422,24,GHA,2013
1086,45632,24,GHA,2013
1087,45841,23,GHA,2013
1088,46052,24,GHA,2013
1089,46262,24,GHA,2013
1090,46472,24,GHA,2014
1091,46695,37,GHA,2014
1092,46903,35,GHA,2014
1093,47116,38,GHA,2014
1094,47326,38,GHA,2014
1095,47535,37,GHA,2014
1096,47747,38,GHA,2014
1097,47954,36,GHA,2014
1098,48161,33,GHA,2014
1099,48373,35,GHA,2014
1100,48585,37,GHA,2014
1101,48795,37,GHA,2014
1102,49005,37,GHA,2015
1103,49202,25,GHA,2015
1104,49410,24,GHA,2015
1105,49621,26,GHA,2015
1106,49830,26,GHA,2015
1107,50047,34,GHA,2015
1108,50247,25,GHA,2015
1109,50458,27,GHA,2015
1110,50667,27,GHA,2015
1111,50874,25,GHA,2015
1112,51088,30,GHA,2015
1113,51300,33,GHA,2015
1114,51509,33,GHA,2016
1115,51726,41,GHA,2016
1116,51935,41,GHA,2016
1117,52141,38,GHA,2016
1118,52350,38,GHA,2016
1119,52558,37,GHA,2016
1120,52766,36,GHA,2016
1121,52975,35,GHA,2016
1122,53193,43,GHA,2016
1123,53406,45,GHA,2016
1124,53625,53,GHA,2016
1125,53836,53,GHA,2016
1126,54048,54,GHA,2017
1127,54250,45,GHA,2017
1128,54459,43,GHA,2017
1129,54672,45,GHA,2017
1130,54883,45,GHA,2017
1131,55098,49,GHA,2017
1132,55310,50,GHA,2017
1133,55521,50,GHA,2017
1134,55734,52,GHA,2017
1135,55945,52,GHA,2017
1136,56155,51,GHA,2017
1137,56365,50,GHA,2017
1138,56576,50,GHA,2018
1139,56791,54,GHA,2018
1140,57002,54,GHA,2018
1141,57211,51,GHA,2018
1142,57421,50,GHA,2018
1143,57628,47,GHA,2018
